id,firstname,lastname,born,died
0,Cary,Grant,1/18/1904,11/29/1986
1,Eva,Marie Saint,7/4/1924,
2,James,Mason,5/15/1909,7/27/1984
3,James,Stewart,5/20/1908,7/2/1997
4,Kim,Novak,2/13/1933,
5,Barbara,Geddes,10/31/1922,8/8/2005
6,Anthony,Perkins,4/4/1932,9/12/1992
7,Janet,Leigh,7/3/1927,3/10/2004
8,Vera,Miles,10/23/1929,
9,Kurt,Russel,7/3/1951,
10,Wilford,Brimley,11/27/1934,1/10/2020
11,Keith,David,6/4/1956,
12,Maryl,Streep,6/22/1949,
13,Pierce,Brosnan,5/16/1953,
14,Amanda,Seyfried,12/3/1985,
15,Megan,Fox,5/16/1986,
16,Adam,Brody,12/15/1979,
17,Channing,Tatum,4/26/1980,
18,Richard,Jenkins,5/4/1947,
19,John,Travolta,2/18/1954,
20,Uma,Thurman,4/29/1970,
21,Samuel,Jackson,12/21/1948,
22,Tatsuya,Nakadai,12/13/1932,
23,Tsutomu,Yamazaki,12/2/1936,
24,Ken'ichi,Hagiwara,7/25/1950,
25,Akira,Terao,3/26/2019,
26,Jinpachi,Nezu,12/1/1947,
27,Akira,Ishihama,12/29/2016,07/26/2022
28,Shima,Iwashita,1/3/1941,
29,Rentaro,Mikuni,1/20/1923,4/14/2013
30,Michiyo,Aratama,1/15/1930,
31,Misako,Watanabe,3/17/2001,
32,Nobuko,Otowa,10/1/1924,
33,Jitsuko,Yoshimura,12/22/1994,
34,Kei,Sato,12/21/1928,
35,Cate,Blanchett,5/2/2010,
36,Alec,Baldwin,4/3/1958,
37,Peter,Sarsgaard,3/7/1971,
38,Scarlett,Johansson,11/22/1984,
39,Hugh,Jackman,10/12/1968,
40,Jim,Dunk,3/12/1946,
41,Mia,Farrow,2/9/1945,
42,John,Cassavetes,12/9/1929,2/3/1989
43,Ruth,Gordon,10/30/1896,8/28/1985
44,Jack,Nicholson,4/22/1937,
45,Faye,Dunaway,1/14/1941,
46,John,Huston,8/5/1906,8/28/1987
47,Owen,Wilson,11/18/1968,
48,Rachel,McAdams,11/17/1978,
49,Kathy,Bates,6/28/1948,
50,Leonardo,DiCaprio,11/11/1974,
51,Kate,Beckinsale,7/26/1973,
52,Griffin,Dunne,6/8/1955,
53,Rosanna,Arquette,8/10/1959,
54,Verna,Bloom,8/7/1938,1/9/2019
55,Robert,De Niro,8/17/1943,
56,Harvey,Keitel,5/13/1939,
57,David,Proval,5/20/1942,
58,Ray,Liotta,12/18/1954,5/26/2022
59,Joe,Pesci,2/9/1943,
60,Al,Pacino,4/25/1940,
61,Val,Kilmer,12/31/1959,
62,Tom,Cruise,7/3/1962,
63,Jamie,Foxx,12/13/1967,
64,Jada,Smith,9/18/1971,
65,Sharon,Stone,3/10/1958,
66,Jennifer,Lopez,7/24/1969,
67,Ralph,Fiennes,12/22/1962,
68,Natasha,Richardson,5/11/1963,3/18/2009
69,Emilio,Estevez,5/12/1962,
70,Judd,Nelson,11/28/1959,
71,Molly,Ringwald,2/18/1968,
72,John,Candy,10/31/1950,3/4/1994
73,Macaulay,Culkin,8/26/1980,
74,Jean,Louisa Kelly,3/9/1972,
75,Steve,Martin,8/14/1945,
76,Laila,Robins,3/14/1959,
77,Anthony,Michael Hall,4/14/1968,
78,Justin,Henry,5/25/1971,
79,Ben,Gazzara,8/28/1930,2/3/2012
80,Campbell,Scott,7/19/1961,
81,David,Niven,3/1/1910,7/29/1983
82,Peter,Sellers,9/8/1925,7/24/1980
83,Robert,Wagner,2/10/1930,
84,Jean,Reno,7/30/1948,
85,Natascha,McElhone,12/14/1969,
86,Sigourney,Weaver,10/8/1949,
87,Tom,Skerritt,8/25/1933,
88,John,Hurt,1/22/1940,1/25/2017